"","Year","State","birthState","Count","Salary","HR"
"426",1993,"nevada","NV",1,210000,0
"427",1993,"new hampshire","NH",4,2870000,34
"428",1993,"new jersey","NJ",18,6674212,70
"429",1993,"new mexico","NM",2,3465000,0
"430",1993,"new york","NY",53,59425332,188
"431",1993,"north carolina","NC",17,13445500,24
"432",1993,"ohio","OH",44,41733999,169
"433",1993,"oklahoma","OK",10,13581666,70
"434",1993,"oregon","OR",12,4218500,36
"435",1993,"pennsylvania","PA",32,20531500,115
"436",1993,"rhode island","RI",2,118000,0
"437",1993,"south carolina","SC",10,2369000,31
"438",1993,"tennessee","TN",12,10179000,23
"439",1993,"texas","TX",62,48943001,126
"440",1993,"utah","UT",2,3675000,0
"441",1993,"vermont","VT",1,0,1
"442",1993,"virginia","VA",17,5251333,21
"443",1993,"washington","WA",9,13920833,52
"444",1993,"west virginia","WV",4,5310800,33
"445",1993,"wisconsin","WI",9,4738000,14
"446",1993,"wyoming","WY",3,5384000,18
"447",1994,"alabama","AL",12,14751000,37
"448",1994,"alaska","AK",1,2300000,0
"449",1994,"arizona","AZ",8,4133000,18
"450",1994,"arkansas","AR",4,3096667,4
"451",1994,"california","CA",201,197889499,750
"452",1994,"colorado","CO",3,221000,2
"453",1994,"connecticut","CT",7,2050167,33
"454",1994,"delaware","DE",2,2809000,2
"455",1994,"district of columbia","DC",1,1375000,4
"456",1994,"florida","FL",63,63004999,288
"457",1994,"georgia","GA",25,25856167,113
"458",1994,"hawaii","HI",5,6792833,3
"459",1994,"illinois","IL",50,30020249,117
"460",1994,"indiana","IN",13,14086000,45
"461",1994,"iowa","IA",6,4837500,0
"462",1994,"kansas","KS",5,3719000,31
"463",1994,"kentucky","KY",14,12149000,71
"464",1994,"louisiana","LA",24,21244472,75
"465",1994,"maine","ME",2,2586667,1
"466",1994,"maryland","MD",14,14948000,65
"467",1994,"massachusetts","MA",19,17256667,73
"468",1994,"michigan","MI",26,25950334,55
"469",1994,"minnesota","MN",13,18444000,54
"470",1994,"mississippi","MS",6,6287333,39
"471",1994,"missouri","MO",17,14393958,21
"472",1994,"montana","MT",2,290000,0
"473",1994,"nebraska","NE",3,5255000,13
"474",1994,"nevada","NV",1,3e+05,0
"475",1994,"new hampshire","NH",2,4e+06,18
"476",1994,"new jersey","NJ",19,9548167,75
"477",1994,"new mexico","NM",1,175000,0
"478",1994,"new york","NY",57,57479501,139
"479",1994,"north carolina","NC",13,16436000,12
"480",1994,"north dakota","ND",1,0,0
"481",1994,"ohio","OH",42,44150418,136
"482",1994,"oklahoma","OK",9,11509668,55
"483",1994,"oregon","OR",10,2266500,29
"484",1994,"pennsylvania","PA",27,26826000,75
"485",1994,"rhode island","RI",2,180000,0
"486",1994,"south carolina","SC",6,2013000,22
"487",1994,"tennessee","TN",11,10914000,12
"488",1994,"texas","TX",48,36906667,59
"489",1994,"utah","UT",1,0,0
"490",1994,"virginia","VA",9,4720000,21
"491",1994,"washington","WA",11,16520333,41
"492",1994,"west virginia","WV",3,2450000,5
"493",1994,"wisconsin","WI",6,4008750,9
"494",1994,"wyoming","WY",3,7325000,14
"495",1995,"alabama","AL",12,13854700,29
"496",1995,"alaska","AK",1,2300000,0
"497",1995,"arizona","AZ",8,3740223,9
"498",1995,"arkansas","AR",2,0,0
"499",1995,"california","CA",216,194378404,808
"500",1995,"colorado","CO",3,382500,4
"501",1995,"connecticut","CT",8,5587890,47
"502",1995,"delaware","DE",3,3218000,14
"503",1995,"district of columbia","DC",2,634000,2
"504",1995,"florida","FL",68,58509548,353
"505",1995,"georgia","GA",29,36197667,133
"506",1995,"hawaii","HI",3,5802333,1
"507",1995,"idaho","ID",1,109000,0
"508",1995,"illinois","IL",57,31820380,185
"509",1995,"indiana","IN",18,16373112,54
"510",1995,"iowa","IA",8,4743000,3
"511",1995,"kansas","KS",8,6579557,40
"512",1995,"kentucky","KY",15,13059666,79
"513",1995,"louisiana","LA",23,27669729,102
"514",1995,"maine","ME",2,4213333,5
"515",1995,"maryland","MD",15,14541778,93
"516",1995,"massachusetts","MA",29,26281279,111
"517",1995,"michigan","MI",25,22823445,58
"518",1995,"minnesota","MN",8,12061945,50
"519",1995,"mississippi","MS",11,6222566,54
"520",1995,"missouri","MO",19,21126334,27
"521",1995,"montana","MT",1,0,0
"522",1995,"nebraska","NE",4,5798316,5
"523",1995,"nevada","NV",3,459000,24
"524",1995,"new hampshire","NH",3,3609000,9
"525",1995,"new jersey","NJ",21,10358783,69
"526",1995,"new mexico","NM",2,5715000,0
"527",1995,"new york","NY",55,46148759,245
"528",1995,"north carolina","NC",21,14426000,51
"529",1995,"north dakota","ND",2,150000,0
"530",1995,"ohio","OH",54,43496584,161
"531",1995,"oklahoma","OK",13,13178333,74
"532",1995,"oregon","OR",10,1255500,57
"533",1995,"pennsylvania","PA",37,30298000,104
"534",1995,"rhode island","RI",2,272500,0
"535",1995,"south carolina","SC",9,3352000,35
"536",1995,"tennessee","TN",11,11592100,24
"537",1995,"texas","TX",53,43578447,83
"538",1995,"virginia","VA",18,4712500,24
"539",1995,"washington","WA",6,12857334,34
"540",1995,"west virginia","WV",3,1115000,5
"541",1995,"wisconsin","WI",9,2787000,18
"542",1995,"wyoming","WY",3,2483333,21
"543",1996,"alabama","AL",15,9830333,46
"544",1996,"alaska","AK",1,2e+06,0
"545",1996,"arizona","AZ",12,4721000,44
"546",1996,"arkansas","AR",1,0,0
"547",1996,"california","CA",207,192631869,1035
"548",1996,"colorado","CO",4,463500,3
"549",1996,"connecticut","CT",9,9661500,59
"550",1996,"delaware","DE",3,3200000,18
"551",1996,"district of columbia","DC",2,450000,10
"552",1996,"florida","FL",67,63450874,421
"553",1996,"georgia","GA",24,32308500,148
"554",1996,"hawaii","HI",3,4163333,0
"555",1996,"idaho","ID",1,111500,0
"556",1996,"illinois","IL",55,26334500,226
"557",1996,"indiana","IN",21,14688000,66
"558",1996,"iowa","IA",8,2944000,4
"559",1996,"kansas","KS",7,7498000,52
"560",1996,"kentucky","KY",15,16361667,84
"561",1996,"louisiana","LA",31,28112865,109
"562",1996,"maine","ME",1,4608333,0
"563",1996,"maryland","MD",14,19188333,124
"564",1996,"massachusetts","MA",21,21933000,101
"565",1996,"michigan","MI",24,21933900,56
"566",1996,"minnesota","MN",9,8680000,50
"567",1996,"mississippi","MS",11,7459333,77
"568",1996,"missouri","MO",19,12789848,35
"569",1996,"montana","MT",1,115000,0
"570",1996,"nebraska","NE",4,2702500,3
"571",1996,"nevada","NV",3,1059000,19
"572",1996,"new hampshire","NH",2,2e+06,7
"573",1996,"new jersey","NJ",23,15281833,92
"574",1996,"new mexico","NM",2,218000,0
"575",1996,"new york","NY",55,40791442,229
"576",1996,"north carolina","NC",18,9043000,32
"577",1996,"north dakota","ND",2,0,4
"578",1996,"ohio","OH",50,46613000,186
"579",1996,"oklahoma","OK",12,9410149,82
"580",1996,"oregon","OR",11,3234000,70
"581",1996,"pennsylvania","PA",36,33162000,128
"582",1996,"rhode island","RI",1,272500,0
"583",1996,"south carolina","SC",10,5463500,25
"584",1996,"tennessee","TN",11,5797672,42
"585",1996,"texas","TX",56,48375375,103
"586",1996,"virginia","VA",20,5207500,55
"587",1996,"washington","WA",9,17745000,74
"588",1996,"west virginia","WV",1,160000,3
"589",1996,"wisconsin","WI",11,2892500,26
"590",1996,"wyoming","WY",2,1215000,19
"591",1997,"alabama","AL",11,10223333,48
"592",1997,"alaska","AK",1,3500000,0
"593",1997,"arizona","AZ",10,4379000,21
"594",1997,"arkansas","AR",1,0,0
"595",1997,"california","CA",197,208569521,907
"596",1997,"colorado","CO",4,761500,3
"597",1997,"connecticut","CT",9,11978500,49
"598",1997,"delaware","DE",3,2142500,23
"599",1997,"district of columbia","DC",1,216000,3
"600",1997,"florida","FL",57,77209811,351
"601",1997,"georgia","GA",21,36774000,184
"602",1997,"hawaii","HI",2,675000,0
"603",1997,"idaho","ID",2,210000,0
"604",1997,"illinois","IL",48,28412167,205
"605",1997,"indiana","IN",16,15250000,81
"606",1997,"iowa","IA",6,5024167,0
"607",1997,"kansas","KS",9,8520000,85
"608",1997,"kentucky","KY",12,13391962,70
"609",1997,"louisiana","LA",28,39825698,83
"610",1997,"maine","ME",1,4608333,0
"611",1997,"maryland","MD",16,24182500,66
"612",1997,"massachusetts","MA",22,31942500,124
"613",1997,"michigan","MI",20,22700833,45
"614",1997,"minnesota","MN",6,9036000,24
"615",1997,"mississippi","MS",13,7513000,72
"616",1997,"missouri","MO",18,18887767,52
"617",1997,"nebraska","NE",6,3005000,6
"618",1997,"nevada","NV",3,1645000,17
"619",1997,"new hampshire","NH",3,2275000,5
"620",1997,"new jersey","NJ",26,22685833,106
"621",1997,"new mexico","NM",2,310500,2
"622",1997,"new york","NY",49,55172067,256
"623",1997,"north carolina","NC",18,10078000,45
"624",1997,"north dakota","ND",2,340000,16
